Gene,Cluster
ABCA1,2
ABCA3,1
ABCB1,13
ABCB4,8
ABCB8,8
ABCC1,2
ABCC2,1
ABCC3,14
ABCC4,0
ABCC6,1
ABCG1,8
ABCG2,8
ABCG4,8
ABCG5,6
ABCG8,6
ABL2,8
ACACA,8
ACAN,8
ACAT1,8
ACAT2,1
ACE,1
ACE2,9
ACHE,0
ACKR3,9
ACLY,1
ACOT7,1
ACP5,1
ACRV1,1
ACSL1,0
ACTA1,8
ACTA2,0
ACTC1,9
ACTG2,12
ACTN4,0
ADAM10,8
ADAM12,0
ADAM17,8
ADAM23,8
ADAMTS1,2
ADAMTS5,0
ADARB2,0
ADGRE5,8
ADH1A,1
ADIPOQ,4
ADIPOR1,10
ADIPOR2,3
ADM,8
ADORA1,8
ADRA2B,8
ADRB2,0
AFP,0
AGER,13
AGGF1,1
AGR2,1
AGT,2
AGTR1,1
AHR,3
AHRR,8
AIRE,5
AKAP12,2
AKR1C2,8
AKR1C3,0
AKT1,0
AKT2,0
ALAS2,8
ALB,12
ALDH1A1,0
ALDH1A2,8
ALDOA,4
ALDOB,8
ALK,1
ALOX12,8
ALOX15,1
ALOX5,2
ALPI,8
ALPL,1
AMH,1
AMHR2,9
ANAPC4,0
ANG,9
ANGPT1,9
ANGPT2,13
ANGPTL4,1
ANKRD1,0
ANPEP,8
ANXA8,14
APAF1,6
APC,13
APCS,8
APEX1,9
APH1A,8
APLNR,8
APOA5,1
APOB,2
APOBR,9
APOC3,1
APOD,0
APOE,1
APP,13
AR,13
AREG,9
ARF1,9
ARF6,8
ARG1,8
ARG2,8
ARHGEF1,8
ARL6IP5,8
ARNT,0
ARNTL,4
ASCL1,0
ASCL2,0
ASF1B,8
ASNS,2
ASPM,8
ASS1,8
ASXL1,8
ATF1,12
ATF2,9
ATF3,8
ATF4,4
ATF5,0
ATF7,12
ATG5,8
ATG7,1
ATM,8
ATP1B1,0
ATP2A2,4
ATP2A3,8
ATP2C1,8
ATP5F1A,1
ATP6V0A2,5
ATP6V0E1,1
ATXN2,5
AURKA,1
AVP,1
AXIN2,1
AXL,8
B2M,1
B4GALT1,8
B4GALT5,8
BAALC,8
BABAM2,0
BACE1,6
BACH1,1
BAD,8
BAG1,14
BAG3,3
BAK1,1
BAMBI,13
BAX,13
BBC3,1
BCAR1,8
BCAS3,8
BCL11A,2
BCL2,6
BCL2A1,8
BCL2L1,13
BCL2L11,9
BCL2L13,3
BCL3,13
BCL6,6
BDKRB2,8
BDNF,10
BECN1,8
BEST1,1
BEX2,8
BGLAP,2
BGN,8
BHLHE22,8
BHLHE40,1
BHLHE41,8
BHMT,9
BID,0
BIRC2,2
BIRC3,13
BIRC5,13
BLK,9
BLM,8
BLMH,1
BMI1,8
BMP2,2
BMP4,13
BMP7,9
BNIP3,8
BRCA1,6
BRCA2,0
BRD2,12
BRD3,12
BRD7,2
BRS3,8
BSG,8
BST2,1
BTG1,0
BTG2,6
BTRC,0
BUB1B,14
C1QTNF5,8
C4BPB,1
CA9,1
CABIN1,6
CALB1,1
CALD1,8
CAMP,9
CAPN10,1
CAPNS1,1
CARTPT,7
CASP1,8
CASP2,8
CASP3,8
CASP7,1
CASP8,13
CASP9,8
CASR,3
CAT,8
CAV1,14
CBFB,0
CBS,1
CCAR2,0
CCK,8
CCL11,8
CCL17,1
CCL19,1
CCL2,1
CCL20,8
CCL21,1
CCL22,8
CCL26,1
CCL3,8
CCL4,9
CCL5,1
CCNA1,14
CCNA2,0
CCNB1,13
